school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
I.S. 584,10,0,20147.0,22.05,0.0,24.2,75.1,0.7,0.0,3.66,3.73,3.51,3.61,3.62,3.64,33.2,97.1,23.1,277.0,3.41,0.43,0.37
P.S. 071 ROSE E. SCALA,96,2,18321.0,25.53,8.2,5.0,62.5,1.5,22.8,3.82,4.02,3.09,3.25,2.96,3.28,19.6,73.0,10.9,1646.0,3.41,0.49,0.45
M.S. X101 EDWARD R. BYRNE,66,7,18173.0,23.14,12.5,9.9,57.0,1.9,18.6,3.67,4.09,3.48,3.8,3.42,3.95,23.8,74.5,1.7,526.0,3.25,0.66,0.59
J.H.S. 123 JAMES M. KIERAN,11,0,21408.0,21.96,2.8,23.7,72.4,0.8,0.3,3.21,3.65,2.69,3.64,3.63,3.73,27.3,87.3,26.5,355.0,3.34,0.22,0.15
J.H.S. 125 HENRY HUDSON,39,2,22085.0,19.25,25.1,12.3,51.0,4.5,7.2,3.66,3.73,3.51,3.61,3.62,3.64,20.3,95.5,24.2,359.0,3.41,0.36,0.29
J.H.S. 131 ALBERT EINSTEIN,22,1,21401.0,25.0,4.6,32.6,60.7,1.1,1.1,2.94,3.32,2.73,3.54,3.15,3.22,32.8,84.3,12.2,460.0,3.18,0.3,0.19
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,0,0,20045.0,13.5,0.6,19.8,78.4,0.2,1.1,2.56,3.25,3.03,2.99,3.15,3.55,26.3,84.8,13.1,643.0,2.95,0.27,0.18
M.S. 301 PAUL L. DUNBAR,0,0,27706.0,22.65,0.0,40.8,57.1,0.4,1.6,3.22,3.39,2.79,3.6,3.86,3.0,25.3,94.7,26.1,245.0,2.81,0.18,0.15
M.S. 302 LUISA DESSUS CRUZ,13,0,22320.0,22.69,0.4,21.7,75.8,0.8,1.2,3.97,3.38,3.52,3.9,3.89,3.75,30.7,94.1,26.8,488.0,3.2,0.24,0.16
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,39,2,21495.0,21.27,1.9,23.7,71.8,1.9,0.6,4.84,4.52,3.88,3.72,3.09,3.82,26.6,79.9,13.3,518.0,4.4,0.4,0.32
